roll,score,shooter,streak
  1, 11,  1,  1
  2,  7,  1,  1
  3,  4,  1,  2
  4, 11,  1,  3
  5,  8,  1,  4
  6,  6,  1,  5
  7,  7,  2,  1
  8,  7,  2,  1
  9, 10,  2,  2
 10,  4,  2,  3
 11,  6,  2,  4
 12,  7,  3,  1
 13,  8,  3,  2
 14, 12,  3,  3
 15,  6,  3,  4
 16,  6,  3,  5
 17,  7,  4,  1
 18,  4,  4,  2
 19,  7,  5,  1
 20,  6,  5,  2
 21, 10,  5,  3
 22,  8,  5,  4
 23,  8,  5,  5
 24,  5,  5,  6
 25,  5,  5,  7
 26,  9,  5,  8
 27,  9,  5,  9
 28,  8,  5, 10
 29,  8,  5, 11
 30,  7,  6,  1
 31,  5,  6,  2
 32,  9,  6,  3
 33,  6,  6,  4
 34,  8,  6,  5
 35,  5,  6,  1
 36,  9,  6,  2
 37,  4,  6,  3
 38,  8,  6,  4
 39,  4,  6,  5
 40,  2,  6,  6
 41,  8,  6,  7
 42, 10,  6,  8
 43,  3,  6,  9
 44,  6,  6, 10
 45,  7,  7,  1
 46,  9,  7,  2
 47, 11,  7,  3
 48,  5,  7,  4
 49,  4,  7,  5
 50,  8,  7,  6
 51, 10,  7,  7
 52,  7,  8,  1
 53,  9,  8,  2
 54,  8,  8,  3
 55, 10,  8,  4
 56,  6,  8,  5
 57, 12,  8,  6
 58,  7,  9,  1
 59,  9,  9,  2
 60,  6,  9,  3
 61, 11,  9,  4
 62,  7, 10,  1
 63,  7, 10,  1
 64,  7, 10,  1
 65,  2, 10,  1
 66, 11, 10,  1
 67,  8, 10,  2
 68,  9, 10,  3
 69,  5, 10,  4
 70,  5, 10,  5
 71,  8, 10,  1
 72,  2, 10,  1
 73,  6, 10,  2
 74,  7, 11,  1
 75, 12, 11,  1
 76,  6, 11,  2
 77,  6, 11,  1
 78,  8, 11,  2
 79,  7, 12,  1
 80,  8, 12,  2
 81, 12, 12,  3
 82,  9, 12,  4
 83,  7, 13,  1
 84,  5, 13,  2
 85,  4, 13,  3
 86, 12, 13,  4
 87,  6, 13,  5
 88,  6, 13,  6
 89,  4, 13,  7
 90, 11, 13,  8
 91,  9, 13,  9
 92,  5, 13,  1
 93,  8, 13,  2
 94,  5, 13,  3
 95,  5, 13,  4
 96,  7, 14,  1
 97, 10, 14,  2
 98,  9, 14,  3
 99,  5, 14,  4
100,  7, 15,  1
